,outlet,headline,body,political_leaning
151236,HuffPost,USAID Donates $1 Million To Fight Ebola Outbreak In DR Congo,"The U.S. is sending $1 million dollars from the U.S. Agency for International Development to fight the Ebola outbreak in the Democratic Republic of Congo, a USAID spokesman told HuffPost Friday.
The U.S. funding will join the little under $9 million contributed so far by the World Health Organization’s Contingency Fund for Emergencies, The Wellcome Trust, the U.K., the United Nations and Gavi, the Vaccine Alliance.
The WHO estimates the current Ebola outbreak ― which has a total of 45 confirmed, probable and suspected cases and 25 deaths ― will cost about $26 million to contain. In contrast, the 2014-2016 Ebola outbreak in West Africa that killed more than 11,300 people and infected 28,000 cost $3.6 billion to fight.",LEFT
188606,HuffPost,Audio Of Crying Migrant Kids Separated From Families Is Featured In Ads,"A progressive political group is launching an ad campaign featuring the now-infamous audio of migrant children crying for their parents in a detention center. The group hopes it moves Americans to vote against Republicans in the midterm elections.
The ad from Progressive Change Campaign Committee features the audio ProPublica published of young kids wailing for their “mamá” and “papá” after having been separated from them at the border as a result of the Trump administration’s “zero tolerance” immigration policy.
“This is Trump’s America. Is it yours?” the ad concludes. “Remember in November.”
Starting Friday, the ads will air on MSNBC, CNN and Fox in the Washington, D.C., area, the group’s press secretary, Marissa Barrow, told HuffPost by email.
After more fundraising, the group hopes to expand the ads to “key congressional districts” across the country ― including in California, Nebraska and Kansas, where Republican lawmakers are “supporting Trump’s agenda” on immigration, the group told Mic.
The ad aims to hold President Donald Trump and “the Republicans who enable his racist policies accountable,” Barrow said, noting that it was timed to capitalize on the “public energy” around the family separations and ensure midterm voters don’t forget the sounds of children taken from their parents.
The ads come after days of nationwide outrage reached a fever pitch over the “zero tolerance” policy that refers for criminal prosecution all migrants crossing the border illegally and has led to officials separating over 2,300 children from their parents since May.
“Trump’s executive order does nothing to reunite the nearly 2,500 kids who’ve been separated from their parents or guardians and were placed into ‘tender age’ facilities,” Barrow noted.
“The policy itself was not an accident ― it was an intentional 2018 strategy to excite the racist, anti-immigrant portion of his base,” she added.
Another progressive group launched a separate ad campaign this week also featuring the audio ― a seven-figure campaign funded by liberal “megadonor” Tom Steyer, reported CNN. The goal of that ad was also to mobilize voters before the midterms.",LEFT
196828,ABC News,Russian talks with rebels over south Syria collapse,"Negotiations between the Russians and Syrian rebels to end days of violence in the country's south collapsed Saturday after opposition forces rejected surrender conditions proposed by Moscow, a rebel spokesman and a war monitor said.
Shortly after the collapse of negotiations over southern Syria, airstrikes intensified on rebel-held parts of Daraa province that borders Jordan. Saturday's talks came on the heels of similar negotiations which took place Friday, in which the Russians tabled their conditions to halt a Russian-backed government offensive to capture rebel-held areas along the borders with Jordan and the Israeli-occupied Golan Heights.
""The talks collapsed because the Russians insisted on their conditions that want us to surrender,"" said rebel spokesman Ibrahim Jabawi. ""The (rebels') negotiating team refused to surrender and refused to accept the Russian conditions.""
Rami Abdurrahman, who heads the Britain-based Syrian Observatory for Human Rights, a war monitor, also confirmed that the talks collapsed adding that shortly afterward Syrian and Russian warplanes intensified their airstrikes.
Syrian state media said earlier Saturday that more areas in Daraa province had been captured and in others rebels had agreed to hand over their weapons and reconcile with the government.
The government offensive that began June 19 has killed scores of people, wounded hundreds of others and forced more than 50,000 to flee to areas close to the borders with Jordan and the Israeli-occupied Golan Heights.
Jabawi, spokesman for the rebels' joint operations room, said the insurgents set up a delegation that met with Russian officials Friday and again Saturday. He added that there are currently more efforts to hold a new round of talks to avoid further violence.
Jabawi told The Associated Press that Russia, a strong ally of President Bashar Assad's government, wants the rebels to hand over their weapons followed by a return of government forces to rebel-held areas.
Speaking by telephone from Jordan Jabawi said that the meetings with the Russians took place in an area near where the provinces of Daraa and Sweida meet.
""The Russian conditions are that rebels hand over everything and in return all areas will come under Bashar Assad's control,"" Jabawi said. ""All people who carried arms will be put on trial.""
Jabawi had said earlier Saturday that the Russian conditions ""cannot be accepted"" adding that to pressure the rebels, intense airstrikes have been targeting southern villages and towns that have until now largely evaded the violence of Syria's seven-year conflict.
The Observatory said the negotiations between rebels and the Russians were aimed to find ""a full solution"" for the future of Daraa.
It said negotiations aimed to reach a cease-fire as well as have rebels hand over their heavy weapons then later their light weapons. It added that in return for Russian guarantees, the rebels would hand over the Naseeb border crossing with Jordan and return state institutions to rebel-held areas in the south.
The Russians would also compile lists of rebels' names to work on securing them amnesty with the Syrian government.
The Observatory said that since the offensive began 11 days ago, 116 civilians have been killed including five on Saturday.
Jordanian government spokeswoman Jumana Ghunaimat said Amman is communicating with most of the parties to the Syrian crisis, mainly Russia and the U.S., in an attempt to reach a cease-fire.
""Jordan insists on its position that a political solution must end the Syrian crisis and it deals with relief organizations to help the displaced inside Syria,"" she said late Friday.
———
Associated Press writer Akram Fares in Amman, Jordan, contributed to this report.",CENTER
20944,NPR,Trump's Unique Concept Of The Presidency Again On Display As Government Shuts Down,"Trump's Unique Concept Of The Presidency Again On Display As Government Shuts Down
MICHEL MARTIN, HOST:
This hour, we've been tackling two important stories - the federal government shutdown and the anniversary of President Trump's first year in office. So this is where we wanted to take a step back and look at what it all means. We'll start with NPR's national political correspondent Mara Liasson. Mara, thank you so much for joining us once again.
MARA LIASSON, BYLINE: Happy to be here.
MARTIN: So what have we heard so far from President Trump since the shutdown started?
LIASSON: What we've heard from President Trump is a pretty simple message - and he said it over and over again on Twitter - Democrats are holding the military hostage over their desire for unchecked illegal immigration. And that's a message that I think his base will find very appealing, whether it helps him with anyone beyond his base is not clear.
MARTIN: And what about the Democrats and what about that argument? I mean, the polls show - and there's been some recent polling on this - it shows that the whole idea of protecting DACA recipients is politically popular but not when you've posed it as a tradeoff between...
LIASSON: Right.
MARTIN: ...You know, keeping the government open and helping them. So what about on the Democratic side?
LIASSON: The problem for both sides is that neither is convinced that the other guy will pay politically. For Democrats, they know, as you said, that something like 90 percent of Americans are sympathetic with their position on the DREAMers but not shutting down the government over the DREAMers. And when people are polled about who would you blame. It turns out that majorities, overall, would blame Republicans for a shutdown. After all, they control all branches of government.
But in those big five states, the red states where Democratic Senate incumbents are running for re-election - and that's what Democrats are most worried about in those states - Missouri, Montana, West Virginia, Indiana, South Dakota - that's where Democrats would be blamed if it looks like they're doing this because of the DREAMers.
And in terms of whether the president would be blamed, we do know that the hashtag @Trumpshutdown, not @Schumershutdown, but @Trumpshutdown was the top trending topic on Twitter on Friday night. So a lot of people voted for him thinking he was a businessman who would come to Washington, make deals, which is what he promised, make the government work. And now here we are on the first anniversary of his inauguration with a shutdown.
MARTIN: Just building on that point, though, you know, in the past, the polls have suggested that Republicans were blamed for the shutdown but then they went on to midterm elections and actually did fine - in fact, did very, very well, according to the historical pattern that says, you know, the party in the White House tends to suffer in midterms, right? So any sense of what's going to happen this year?
LIASSON: Well, this is the first shutdown that we've ever had under one-party control of government. The last shutdown in 2013, of course, there was a Democrat in the White House, Republicans in Congress. And what you're talking about is absolutely true. What happened was Republicans initially were blamed for the shutdown.
The approval ratings for the Republican Party dropped faster and deeper than they had ever dropped before during that shutdown. But then what people forget about is that then the Obamacare website debuted and crashed. And it totally wiped that story of the shutdown off the front pages. And that's what could happen now if we have a very short shutdown. If something happens to wipe this story in our kind of ADD news environment, we might be talking about something completely different a week from now.
MARTIN: Mara, just one more minute on this, if I could, before we head into the Barbershop because I'm going to ask them to reflect on this question. You know, here we are on the one-year anniversary of President Trump's inauguration. What more do we know about him now than we did a year ago?
LIASSON: Wow. Well, I think what we've - what I wondered about when he was inaugurated was, would he be different in degree or kind? Was he just a ruder, cruder kind of conservative Republican or something completely different? I think in terms of domestic policy, he's become a pretty standard conservative Republican - tax cuts, Neil Gorsuch, deregulation.
But I think for - on the other hand, his divisive behavior and his continuing attacks on democratic institutions like the independent judiciary, free press, the FBI - I think that shows us that he conceives of the presidency in a completely different way than any of his predecessors. He doesn't see himself as the moral leader of the country or with the responsibility to unify the country. He has a totally different concept of the presidency.
MARTIN: That's NPR's national political correspondent Mara Liasson. Mara, thank you.
LIASSON: Thank you.
Copyright © 2018 NPR. All rights reserved. Visit our website terms of use and permissions pages at www.npr.org for further information.
NPR transcripts are created on a rush deadline by Verb8tm, Inc., an NPR contractor, and produced using a proprietary transcription process developed with NPR. This text may not be in its final form and may be updated or revised in the future. Accuracy and availability may vary. The authoritative record of NPR’s programming is the audio record.",LEFT
136395,Reuters,"BRIEF-DCB Bank Seeks Shareholders' Nod To Re-Appoint Murali Natrajan As MD, CEO","May 7 (Reuters) - DCB Bank Ltd:
* SEEKS SHAREHOLDERS’ NOD FOR RE-APPOINTMENT OF MURALI NATRAJAN AS MD, CEO
* SEEKS SHAREHOLDERS' NOD FOR RAISING FUNDS BY ISSUE OF BONDS/DEBENTURES/SECURITIES ON PRIVATE PLACEMENT BASIS WORHT UP TO 3 BILLION RUPEES Source text - bit.ly/2rq5R5D Further company coverage:",CENTER
138413,The Wall Street Journal,Pelosi Urges Democrats to Run on Economic Issues-Not Simply on Trump-in Midterms,"WASHINGTON—House Minority Leader Nancy Pelosi said Tuesday that she is urging Democrats to focus on infrastructure projects, better-paying jobs and rolling back Republican tax cuts in the midterm elections—and not to run simply as opposition to President Donald Trump.
“It comes down to an economic message,” the California Democrat said in an interview hosted by Politico. “The financial instability of American families is something that needs to be addressed.”
...",UNDEFINED
183599,The Wall Street Journal,Are the Tax Cuts Working? What to Watch in 12 Charts,"Exactly how well is the tax cut working? U.S. economic activity is on a solid trajectory this year, and overall growth is on track for a strong second quarter after a modest slowdown in the early months of 2018.
But it remains unclear how much credit goes to the tax law. Both critics and supporters say it will take months or years to draw conclusions on the law’s effect.
Meanwhile,...",UNDEFINED
101815,ABC News,Mueller has evidence raising questions about Prince testimony on meeting with Russian: Sources,"Special Counsel Robert Mueller has obtained evidence that calls into question Congressional testimony given by Trump supporter and Blackwater founder Erik Prince last year, when he described a meeting in Seychelles with a Russian financier close to Vladimir Putin as a casual chance encounter “over a beer,” sources tell ABC News.
Well-connected Lebanese-American businessman George Nader, a key witness given limited immunity by Mueller, has been interviewed seven times by prosecutors on a wide range of subjects. He told investigators that he set up a meeting in the Seychelles between Prince and Russian sovereign wealth fund CEO Kirill Dmitriev, mere days before Trump was inaugurated, sources familiar with the investigation said this week.
Nader has submitted to three interviews with special counsel investigators and four appearances before a federal grand jury in Washington since agents stopped him at Dulles International Airport in January, served him with a grand jury subpoena and seized his electronic devices, including his cell phone. Documents obtained by Mueller suggest that before and after Prince met Nader in New York a week before the trip to the Seychelles, Nader shared information with Prince about Dmitriev, sources familiar with the investigation told ABC News, which appears to be inconsistent with Prince’s sworn testimony before a U.S. House of Representatives investigative panel.
""I didn't fly there to meet any Russian guy,"" Prince told the House Permanent Select Committee on Intelligence in November. He testified that he travelled to the Seychelles for a meeting with United Arab Emirates officials about possible business opportunities, and they introduced him – unexpectedly – to Dmitriev.
As of late March, Mueller’s team has not asked Prince – whose sister Betsy DeVos serves as Trump’s Secretary of Education – to appear before the grand jury being used to investigate whether Trump campaign officials or transition aides colluded with Russian government operatives, according to one of Prince’s friends.
Jason Alden/Bloomberg via Getty Images, FILE
Prince told the House Intelligence Committee that his meeting with Dmitriev was a chance encounter “down in the bar” at the suggestion of ""one of the brothers"" of the United Arab Emirates' leader Crown Prince Mohammed Bin Zayed al-Nayhan.
""At the end, one of the entourage says, 'Hey, by the way, there’s this Russian guy that we’ve dealt with in the past. He’s here also to see someone from the Emirati delegation. And you should meet him. He'd be an interesting guy for you to know, since you’re doing a lot in the oil and gas and mineral space,’” Prince told lawmakers under oath in his sworn testimony. “So, as I recall, I met him, this same guy I talked about, Kirill Dmitriev. Met him down in the bar after dinner, and we talked for 30 minutes over a beer, and that was it.”
Sources say Nader -- who worked at the time for the Emirati leader, known as ""MBZ” – tells a different story. According to multiple sources, the U.A.E., an important U.S. ally increasingly eager to be seen as a global powerbroker, wanted to bring a Russian close to the Kremlin together with someone Nader believed was a trusted confidant of members of the incoming administration.
Sources tell ABC News Nader met with Prince at New York's Pierre Hotel a week before the Jan. 11, 2017 meeting in the Seychelles, and later sent Prince biographical information about Dmitriev, which, according to those sources, noted that Dmitriev had been appointed by Putin to oversee the state-run sovereign wealth fund.
Nader says he then facilitated and personally attended the meetings, including one between Prince and Dmitriev, at a resort owned by MBZ off the coast of East Africa, the sources told ABC News. One of the primary goals of the meeting, Nader told investigators, was to discuss foreign policy and to establish a line of communication between the Russian government and the incoming Trump administration, sources told ABC News.
Nader — who Prince said in a 2010 lawsuit deposition had once represented his military contractor business in Iraq — was not mentioned in Prince's congressional testimony despite Prince being asked by lawmakers who was present. Prince said only that Dmitriev's wife was there but she left after a few minutes while they discussed terrorism and oil prices.
A spokesperson for Prince told ABC News on Thursday that ""Erik has said all there is to say to the committee and has nothing further to add."" Prince has said that the Seychelles meeting was leaked to the news media last year in an illegal “unmasking” of his identity in U.S. signals intelligence intercepts.
Saul Loeb/AFP/Getty Images, FILE
Nader, a naturalized U.S. citizen, is an enigma in the nearly yearlong probe of the Trump presidential campaign's dealings with Russians linked to the Kremlin.
His background and credibility have come under attack as his name appeared in recent headlines. He has been arrested twice in the U.S., first in 1984 and again 1991, and convicted once, according to court records unsealed in March, for possession of pornographic videos featuring underage boys. He also reportedly served prison time in the Czech Republic in 2003 for similar crimes.
Nader's lawyers at powerhouse firm Latham & Watkins, which includes former Obama White House Counsel Kathryn Ruemmler, have said unnamed individuals are dredging up the old criminal cases to discredit him as an important witness for Mueller. They declined to comment to ABC News on Nader's interactions with the special counsel and Nader himself has refused to speak about the Russia probe.
Few in Washington remember George Nader, whose colorful biography reads like a spy thriller: his career has spanned the globe, and along the way he has been a hostage negotiator, arms broker, security operative and, now, an important witness for the former director of the FBI.
He’s even negotiated with the Kremlin. According to Al-Monitor, a news website covering the Middle East, Nader helped broker a $4.2 billion arms deal between Iraq and Russia in 2012.
Nader’s associates say he has embarked on countless sensitive diplomatic missions overseas and was once a special adviser to Vice President Dick Cheney. He had easy access to the White House under Presidents Reagan, both Bushes and Clinton, according to former officials, and he visited the Trump White House last year despite his criminal record.
Nader posed with Trump for a picture and even helped arrange the new American president's first major foreign trip to the Kingdom of Saudi Arabia last year, two top Trump advisers told ABC News.
""He has worked for the Israelis, the Syrians, the Iranians, the Saudis, the Emiratis, the Shiites in southern Iraq,"" said Mouafac Harb, a Lebanese former journalist who has known Nader for decades. ""He’s typical of the kind of shady operatives you often see in the Middle East.”
Ron Sachs/AP Images, FILE
His 1991 federal conviction in Alexandria, Virginia, for being caught returning from Germany with videotapes in his luggage ""depicting minors engaged in sexually explicit conduct"" highlights the conflicting chapters in his life.
Prominent foreign policy figures sent testimonials to the federal trial court judge in Virginia, including one friend who said Nader, a Lebanese Christian, ""is risking his life"" to help free a dozen American, British and other hostages held in Beirut in 1991, by leveraging his close ties to the Shi'a terrorist group Hezbollah. The letters to the judge were provided to ABC News last week by Nader's legal team.
The judge in 1991 sentenced Nader to six months in a halfway house -- well below mandatory sentencing guidelines at that time -- and allowed him to travel to both Moscow and Beirut during his criminal proceedings, later citing Nader's ""extraordinary cooperation with the government in certain areas.""
The 1991 criminal case was ordered sealed for six months. Instead, it remained under seal for 26 years, until a judge opened the case file last month amid news reports about Nader cooperating with Mueller. Sources told ABC News the U.S. government did not want Nader's secrets easily unearthed while he operated as a backchannel on sensitive matters.
""We used him because we needed all the channels we could get into the Syrian security establishment,"" said a former top career American diplomat in Damascus, who was aware of Nader's activities in the years following his 1991 conviction. ""Nobody was looking for his child porn case. Nobody cared about that stuff at all back then. He was providing too invaluable a service to us.""
Nader, according to one former diplomat, has a rare and valuable skill.
""His stock in trade is access and influence,” the former diplomat said. “He finds a way to be valuable to people.”
But Nader had dropped off the radar of many former associates two decades ago, including those who worked in Washington for his ""Middle East Insight"" magazine, which held many foreign policy discussions hosted by Nader and televised on C-Span until it folded around the time of his criminal conviction.
""Until his name appeared recently, I had no idea that Mr. Nader was even alive,"" said one former writer at the magazine, who, like most of Nader's associates, declined to be identified by name.",CENTER
62578,HuffPost,Donald Trump Attacks Alec Baldwin In Early Morning Twitter Rant Amid Week Of Chaos,"President Donald Trump took a break from dealing with turmoil in his administration to once again lash out at actor Alec Baldwin in an early-morning Twitter rant.
Earlier this week, Baldwin told The Hollywood Reporter that portraying Trump on “Saturday Night Live” had become “like agony.”
“Anybody over this guy,” said Baldwin. “It doesn’t matter. We have to get rid of him.”
Baldwin’s comments apparently struck a nerve for Trump, whose administration is reeling from a string of setbacks this week, including the departure of one of his closest confidants, Hope Hicks. He’s also under fire for appearing to cave to the NRA just a day after he promised to tackle gun control.
The president responded to Baldwin’s comments with a rambling error-strewn post, in which he twice misspelled the actor’s name, as well as the word “dying.”
Twitter
Trump also urged “SNL” to bring back Darrell Hammond, who portrayed the then-reality star on the show until 2016.
The tweet remained live for around 10 minutes before it was deleted. Trump quickly replaced it with this correctly spelled post:
Alec Baldwin, whose dying mediocre career was saved by his terrible impersonation of me on SNL, now says playing me was agony. Alec, it was agony for those who were forced to watch. Bring back Darrell Hammond, funnier and a far greater talent! — Donald J. Trump (@realDonaldTrump) March 2, 2018
Hammond is yet to respond, but Baldwin hit back first with this tweet:
Agony though it may be, I’d like to hang in there for the impeachment hearings, the resignation speech, the farewell helicopter ride to Mara-A-Lago. You know. The Good Stuff. That we’ve all been waiting for. — ABFoundation (@ABFalecbaldwin) March 2, 2018
In a further burn, Baldwin then imagined what Trump’s Presidential Library will look like:
Looking forward to the Trump Presidential Library.
A putting green.
Recipes for chocolate cake.
A live Twitter feed for visitors to post on.
A little black book w the phone numbers of porn stars.
You’re in and out in five minutes.
Just like... — ABFoundation (@ABFalecbaldwin) March 2, 2018",LEFT
43200,CBS News,"Trump: ""Is there no such thing any longer as Due Process?""","President Trump fired off a tweet Saturday morning, asking, ""Is there no such thing any longer as Due Process?"" He said some people's lives ""are being shattered and destroyed by a mere allegation.""
Mr. Trump didn't mention anyone specific in the tweet, which came after accusations of abuse against two now-former aides.
Peoples lives are being shattered and destroyed by a mere allegation. Some are true and some are false. Some are old and some are new. There is no recovery for someone falsely accused - life and career are gone. Is there no such thing any longer as Due Process? — Donald J. Trump (@realDonaldTrump) February 10, 2018
One of those aides is Rob Porter, who resigned this week after his two former wives came forward and accused him of abusing them. On Friday night, The Washington Post first reported another White House aide, David Sorensen, resigned after his ex-wife accused him of abuse, including running over her foot with a car.
Porter's first wife, Colbie Holderness, revealed an image of herself with a blackened eye in 2005, which she said she received from Porter punching her while they were on vacation in Florence, Italy. In June 2010, Porter's second wife, Jennie Willoughby, filed an emergency protective order against Porter, whom she says dragged her naked from the shower.
Porter has denied the allegations.
In the wake of the claims, the president wished Porter well on Friday, saying nothing of Porter's accusers other than he was ""very sad"" to hear of the allegations.
""He worked very hard,"" the president said in the Oval Office Friday. ""I found out about it recently and I was surprised by it. But we certainly wish him well. It's obviously a tough time for him. He did a very good job when he was in the White House. And we hope he has a wonderful career, and hopefully he will have a great career ahead of him. But it was very sad when we heard about it, and certainly he's also very sad. Now he also as you probably know, he says he's innocent. And I think you have to remember that. He said very strongly yesterday that he's innocent. So you'll have to talk to him about that. But we absolutely wish him well. Did a very good job while he was at the White House.""
The White House's response to the allegations leveled against Porter sent the White House scrambling. Porter warned White House counsel Don McGahn in January 2017 that there could be a holdup with his security clearance, CBS News has reported. In June 2017, Porter's preliminary file was sent from the FBI to the White House security office. It contained information from his ex-wives alleging abuse. The file never went to McGahn personally, but it may have gone to another attorney in the White House counsel's office. In September of 2017, Porter told McGahn the FBI had interviewed him a second time.
McGahn became more clearly aware of the nature of those concerns in November 2017 when Porter's former girlfriend called him to tell him of the abuse allegations from the former wives. Shortly after that, McGahn informed chief of staff John Kelly that there could be problems related to Porter's security clearance. But, the White House took no action, waiting until after the Daily Mail reported the former wives' claims Tuesday night. White House communications director Hope Hicks, CBS News has confirmed, is dating Porter, although it's unclear when she became aware of the allegations.
CBS News' Arden Farhi contributed to this report.",CENTER
42106,Breitbart,Teachers Seek Help to Cope with Rising Islamic Extremism in the Classroom,"Rising fundamentalism amongst Muslim youths in Germany is sparking alarm in the nation’s schools, with more and more teachers seeking help in dealing with radicalised pupils.
Since October last year, a hotline set up by the Federal Ministry for Migration and Refugees (BAMF) has increasingly been inundated with calls from teachers and school mental health workers concerned about Islamic extremism.
“Most of the children have grown up in a Salafist environment — that is to say, their parents are radicalised,” said Florian Endres, from Nuremberg Advisory Centre on Radicalisation.
Domestic intelligence chief Hans-Georg Maassen warned in December that support for radical Islam was at “an all-time high”, with the number of Salafists identified by authorities as living in Germany having grown to 10,800 from just 3,700 in 2011.
Police confirm 15-year-old girl who stabbed police officer was ISIS youth https://t.co/tLolBfZPZA pic.twitter.com/UTdFoZff3F — Breitbart London (@BreitbartLondon) April 16, 2016
The Centre for Coordination of the Network to Prevent Extremism (KPEBW), which was set up by the Baden-Württemberg state government in 2015, has been training school psychologists in how to recognise extremism amongst Muslim pupils.
“For many teachers, there is a great deal of uncertainty in the context [of Islamic extremism],” said Asiye Sari-Turan who briefed a group of 55 mental health professionals working at schools across Germany on extremism over the course of a three-day KPEBW training event held in December.
“[Teachers and school psychologists] often lack awareness with regards to how to distinguish between regular behaviour, that has maybe been brought on by puberty, and extremism,” she told the Schwäbisches Tagblatt on Monday.
As well as focusing on the psychology of radicalisation and the threat Salafist ideology poses to Germany, the seminars also taught school staff how to recognise jihadist symbols and code that young people post on the internet such as the Islamic State flag, or a picture of lions.
“During the training, participants said: Now that you’ve explained the codes and symbols, I remember seeing that,” Sari-Turan added.
Germany Opened 1,000 Investigations into Radical Islamic Extremists in 2017 https://t.co/ZlD5pcIa8j — Breitbart London (@BreitbartLondon) January 29, 2018
A KPEBW resource entitled ‘Promoting Integration, Recognising Radicalisation — Guidelines for Teachers in Education and Vocational Training’, says schools should be alert if pupils show “emphatic rejection of the views of teachers and classmates as haram (forbidden)”.
Other warning signs highlighted in the booklet include Muslim youths turning their back on music and other leisure activities, and radically changing their behaviour towards the opposite sex.
Intelligence services recently warned that a growing number of female Islamic extremists have begun to come to prominence in Germany’s Salafist scene as their husbands are sent to prison.
As Breitbart London previously reported, the Agency for the Protection of the Constitution in North Rhine-Westphalia said they have identified more than 40 female extremists authorities believe are radicalising the next generation of jihadis.",RIGHT
44281,Reuters,MTG says TDC board to withdraw support of TV business merger,"STOCKHOLM (Reuters) - Sweden’s MTG said on Monday it had been informed by TDC that the Danish operator’s board intends to withdraw its recommendation of a deal with MTG to combine its Nordic Entertainment and MTG Studios businesses with TDC.
Denmark’s TDC announced a $2.5 billion takeover of MTG’s broadcasting and entertainment business on Feb 1.
TDC declined to comment on the news of the withdrawn support for the merger.",CENTER
67963,NPR,Why Are New Hampshire's Tax-Free Liquor Stores Selling So Much Hennessy?,"Why Are New Hampshire's Tax-Free Liquor Stores Selling So Much Hennessy?
Enlarge this image toggle caption New York State Department of Taxation and Finance New York State Department of Taxation and Finance
New Hampshire doesn't have a signature drink, unless you like your maple syrup served neat.
But in recent years, sales of one particular brand of cognac have surged at state-run liquor stores. So much Hennessy is being sold, in fact, that one New Hampshire official is asking the state Attorney General Gordon MacDonald to investigate whether the Liquor Commission is turning a blind eye to bootlegging and money-laundering activities.
New Hampshire, despite its pronounced libertarian streak, is one of 17 ""control"" states, meaning the government manages the distribution of spirits. The state's Liquor Commission, which is run by an appointed chairman, oversees 79 retail stores.
Andru Volinsky, a Democrat who serves on the state's five-member Executive Council, an elected body that serves as a kind of watchdog over the executive branch, made the allegations public last month.
After being tipped off by a whistleblower, Volinsky says he recently witnessed two people who arrived in a vehicle with New York license plates spend approximately $24,000 on Hennessy products. At the register, they allegedly divided the sale into three transactions and paid using ""a very large wad of cash."" He suspects people are buying up large quantities of New Hampshire's tax-free booze to sell elsewhere.
The IRS requires businesses to document when someone spends more than $10,000 in cash on a single purchase. By allowing customers to break up the transactions, Volinsky contends the Liquor Commission may be evading that reporting requirement. He's also concerned that the Liquor Commission isn't doing enough to police customers who may stop at multiple stores in a single day to avoid triggering the $10,000 reporting requirement.
These practices ""may be illegal and unquestionably facilitate money laundering,"" writes Volinsky in a letter to the governor and state attorney general.
Liquor Commission denies allegations
The New Hampshire Liquor Commission is a cash cow, generating more than $150 million in profits last year that went directly into the state's general fund. These government-run liquor stores are strategically located near the state's borders, including at highway rest stops, where motorists can enjoy tax-free shopping and better prices than in nearby Vermont and Massachusetts.
According to publicly available online inventories, those border stores stock huge quantities of Hennessy products. Meanwhile, just a handful of bottles may be on the shelves at stores located far from the border.
It isn't clear why Hennessy appears to be the brand of choice for bootleggers, but the price difference between New Hampshire's bottles and the highly-taxed New York bottles is likely one draw. Also, government officials have offered anecdotal evidence that some of the booze is headed for Chinese restaurants, as well as gentleman's clubs in the greater New York City region.
""I started hearing anecdotes of people coming in with wads of cash stuffed in their socks,"" Volinsky tells New Hampshire Public Radio. ""Wads of cash that smell of perfume because on Wednesdays, apparently the strip club owners in New York come over to buy their liquor in bulk, and the office of the liquor store smells from the perfume.""
For its part, the Liquor Commission flatly denies Volinsky's allegations.
""There's nothing illegal or unscrupulous about making large sales to out-of-state customers as long as our employees follow the policies in place set forth by the state and federal government,"" writes the commission in a statement. It has provided employees with a step-by-step guide to ensure financial disclosure laws are appropriately followed.
The Commission, along with top Republicans in the state, including Governor Chris Sununu, have gone on the attack, criticizing Volinsky for his ""sting operation,"" and are calling for the attorney general to investigate him.
Previous investigation
While a partisan tit-for-tat was perhaps inevitable, many of the concerns raised by Volinsky are not new to New Hampshire officials, or to law enforcement in neighboring states.
In fact, in 2012, it was a top GOP lawmaker who called for a special House committee to investigate potential wrongdoing within the Liquor Commission, including how it handles large cash purchases.
That committee's final report included two anecdotes of out-of-state residents arrested in Massachusetts with large hauls of New Hampshire-purchased booze. One of those arrests included 1,676 bottles of Hennessy, bought at multiple locations. The driver was charged with possessing untaxed liquor and unlawfully transporting liquor.
More recently, liquor enforcement officials in Vermont have made two arrests, one involving an estimated $40,000 worth of New Hampshire-purchased liquor in the back of an SUV, the other with an estimated $28,000 worth. Both suspects were charged with crossing state lines in possession of more than nine liters of alcohol, Vermont's current legal limit.
""The product that was the most prominent in both of these cases was Hennessy cognac,"" says Patrick Delaney, Vermont's Commissioner of Liquor Control, who backs increasing the financial penalties for those caught illegally importing large quantities of liquor. He adds that ""by using cash, there is obviously no paper trail, if an authority were to investigate it. The activity itself is basically tax evasion.""
An IRS spokesperson says the agency is ""aware of this and similar schemes"" but wouldn't confirm any active investigation into all-cash bulk transactions in New Hampshire.
Potential repercussions
Politicians are not the only ones asking questions. Some employees of New Hampshire liquor stores are raising concerns about their role in processing these transactions.
""They are starting to feel like a drug dealer,"" says Richard Gulla, president of the State Employees Association, the union which represents rank and file liquor store employees.
To handle the huge stacks of cash and speed up transactions, the Liquor Commission has installed 20 bill-counting machines at stores around the state, and says it plans to roll out more units.
Volinsky sees these steps and others taken by the Liquor Commission as ""alarming.""
The state attorney general's office says it is reviewing the documents submitted by Volinsky and isn't yet able to comment on their contents.
NHPR's Casey McDermott contributed to this report.",LEFT
